Grootteorde anomalie(ën);Anomalie(ën) gedetecteerd;Holte (m);Opgeruimd door firma;Opgeruimd tot op;Code;Bouwjaar;Afgedregde diepte (m);Afgedregd op;Easting;Northing;Wrak Type;Gevonden door;Gevonden op;Tonnenmaat bruto;Kroniek;Lengte (m);Breedte (m);Naam bevestigd;Beschermd als War Grave (GB);Materiaal;Diepte ondiepste punt (m, t.o.v. LAT);Recentste magnetometriemeting op;Recentste multibeammeting absolute hoogte (m);Recentste multibeammeting strekking (°);Recentste multibeammeting op;Recentste multibeammeting lengte (m);Recentste multibeammeting coördinaten ondiepste punt (lat-long);Recentste multibeammeting ondiepste punt (m, tov LAT);Recentste multibeammeting min. diepte omringende bodem (m, tov LAT);Recentste multibeammeting breedte (m);Recentste Berichten aan Zeevarenden;Recentste side scan sonarmeting strekking (°);Recentste side scan sonarmeting op;Recentste side scan sonarmeting lengte (m);Recentste side scan sonarmeting breedte (m);Recentste multibeammeting;Naam;Vlaggenstaat;Oude benamingen;Eigenaar;Beschermd als cultureel erfgoed onder water;Toestand;Geborgen op;Werf;Teken op kaart;Staat;Gezonken tijdens oorlogsdienst;Gezonken op;Type;Heeft Historische Beelden;Heeft Sounding Beelden;Heeft Pointcloud;
;;;;;BE-115-256-03;1850.0;;;495549.6;5679394.5;Wrak;;;;"Dit wrak betreft mogelijks de Paragon, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Paragon. 

De Paragon, onderweg van Sunderland naar Oostende met een lading kolen, kwam op 31 oktober 1867 ten oosten van de haveningang in moeilijkheden. Hij strandde in de Grote Rede en verging kort nadien. De bemanning kon zich redden met de sloep. ";40.0;6.0;Neen;Neen;Hout;5.8;;0.8;241.0;20/02/2025;22.8;495558   5679400;5.8;6.7;8.0;2003 / 15-137;;;;;;PARAGON;Verenigd Koninkrijk;;;Cultureel erfgoed onder beschermingsmaatregelen;Het wrak betreft enkel het achterschip. De romp is redelijk intact, en de houten spanten zijn goed zichtbaar. ;;;6 Wk;Gebroken;Neen;31/10/1867;Brik;;;;
;;;Tijdelijke Vereniging voor Bergingswerken;bodem;BE-122-312-02;;;;513919.0;5690556.0;Wrak;;;;;;;Neen;Neen;;12.3;;;;25/03/2022;37.4;"513930; 5690544";12.3;;2.3;1989 / 14-110;;;;;;onbekend;;;;;Nog slechts 2 'hobbels' zichtbaar met een tussenafstand van ongeveer 35 meter.;01/01/1988;;#;Geborgen;;;;;;;
;;;;;BE-112-250-01;;;;489122.0;5672681.0;Wrak;Vlaamse Hydrografie;26/02/2025;;;;;Neen;Neen;;1.0;;0.9;142.2;26/02/2025;6.2;489122       5672680;1.0;1.5;2.2;nvt;;;;;;onbekend;;;;In onderzoek;Goed zichtbaar;;;geen;Intact;;;;;;;
;;2.4;;;BE-119-301-03;1918.0;;;502079.9;5685227.7;Wrak;;;128.0;"Het verhaal van minensuchboote M-3600, M-3604 en M-3606:
Op 17 september 1943, omstreeks 20 uur, verlieten M3607, M-3601, M-3604, M-3605 en M-3606 de haven van Oostende richting Zeebrugge. Ze zouden M-3600, M-3620, KFK3669 en HS FN 09 komende van Vlissingen tegemoet gaan en verder begeleiden naar Oostende.
Ter hoogte van de Wenduinebank deden zich twee zware mijnontploffingen voor onder M-3604. Deze verdween onmiddellijk onder water. M-3601 en M-3605 kwamen ter plaatse om bemanningsleden uit het water te helpen. De andere minensuchboote zetten de rubberboten uit om iets meer vanop afstand te kunnen helpen.
Om 22u42 volgde een ontploffing op M-3606, op 50 meter van waar M-3604 was vergaan. 
Niet veel later naderde de vloot vanuit Vlissingen de site. M-3601 probeerde hen met lichtsignalen te waarschuwen voor het mijnenveld. Voor de koptrekker kwamen de waarschuwingen te laat... M-3600 voer om 23u05 tegen een mijn en verging onmiddellijk op ongeveer 500 meter van M-3606.
In totaal vielen 9 doden, 18 gewonden, en 10 personen werden vermist. ";28.4;6.5;Ja;Neen;Staal;4.6;;1.0;13.0;07/03/2024;32.1;502085     5685242;4.6;5.6;7.6;;;;;;;minensuchboot M-3604;Duitsland;MOTOR II, MOTOR I (KW 57);Kriegsmarine, DE;;zelfde als M3606;;W. Rigter uit de Bogaart, Maasluis, NL;4.6 Wk;Enkele fragmenten;WO II;17/09/1943;Mijnenveger;0.0;1.0;0.0;
;;;;;BE-109-239-02;1942.0;;;476134.9;5666719.2;Wrak;GEOSURVEYOR IV;;1155.0;De N.805 was op 22 november 1945 aan de Westkust om op garnaal te vissen. Om 7u30 stootte het schip op het wrak van de HMS Whitley, waarbij een kanon de N.805 doorboorde. De N.805 verging bovenop de HMS Whitley. ;;;Ja;Neen;Staal;4.8;;;;02/12/2015;29.0;;4.8;;;;;;;;;N.805 CHARLES VELGHE;België;N.140 CHARLES VELGHE;Georges Velghe;;Specifieke wrakresten zijn niet meer te onderscheiden van de wrakresten van de HMS Whitley.;;Gebroeders Vandenbussche, Bergenstraat 7, Veurne;1,4 Wk_;Verzand, geen zichtbare resten;Neen;22/11/1945;Vissersboot;0.0;0.0;0.0;
;;;;;BE-122-239-02;;;;475985.0;5690522.0;Wrak;Eurosense-Belfotop BVBA;16/03/2015;;;;;Neen;Neen;;23.6;;;;16/03/2015;20.0;;23.6;;;;;;;;;onbekend;;;;;;;;22 Wk;;;;;0.0;0.0;0.0;
;;;;;BE-108-232-03;1928.0;;;467763.6;5665348.0;Wrak;;;1458.0;;;;Ja;Neen;Hout;15.2;;;;20/02/2025;;;15.2;;;;;;;;;MARIA;België;N.26 SAINT LOUIS, N.716 SAINT LOUIS, N.716 MARIA YVONNE, N.716 MARIA;Gaston Puystiens;;De enige vaste overblijfselen (ijzeren driebladschroef, een stalen as en motorblok) werden in juli 2006 opgekord door de O.700 en Oostende binnengebracht. ;;;geen;Geen zichtbare overblijfselen;Neen;;Vissersboot;;;;
;;3.9;;;BE-135-250-01;1937.0;;;488639.6;5715302.9;Wrak;;;;"Dit wrak betreft mogelijks een Bristol Blenheim, Mk IV, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van zo'n Blenheim. 

Mogelijke identiteit door opgeviste instrument: een Britse 'Turning Indicator Mark I' van de 'Air Ministry'.
Er waren verschillende vliegtuige type Blenheim neergehaald tussen de Westhinder en de Thorntonbank door de Luftwaffe tijdens operatie Cerberus op 12 februari 1942.";13.0;17.2;Neen;Neen;Aluminium;21.8;;;;;;;21.8;;;;;;;;;BRISTOL BLENHEIM MK IV;Verenigd Koninkrijk;;Royal Air Force, UK;;;;Bristol Aeroplane Company, UK;geen;Enkele fragmenten;WO II;12/02/1942;Vliegtuig - Bommenwerper;1.0;0.0;0.0;
;;5.5;;;BE-115-256-01;1891.0;;;496094.4;5677791.3;Wrak;;;3600.0;"HMS Brilliant en HMS Sirius behoorden tot de grootste klasse kruisers ooit gebouwd, maar werden als niet zeewaardig genoeg beschouwd. Samen met HMS Thetis, Intrepid en Iphigenia, werden ze ingezet als blokschepen voor de havens van Oostende en Zeebrugge. Hierdoor zouden de havens onbruikbaar zijn voor de Duitse torpedoboten en onderzeeërs.
Omdat de geul tot Oostende redelijk nauw was, werden hier slechts 2 kruisers ingezet, Brilliant en Sirius. Bij hen hoorde ook een kleine, beschermende vloot. 
De calcium-lichtsignaalboeien, die moesten dienen om de twee kruisers naar de haven te helpen sturen, werden door de Duitsers opgemerkt en onder vuur genomen. Verschillende boeien werden vernietigd. 
De grotere kustbatterijen openden het vuur op de twee kruisers, die zwaar werden beschadigd. Uiteindelijk kwamen ze terecht in de ondiepte van 't Bredens Gat. 
HMS Brilliant kwam tot stilstand, wat de bemanning van HMS Sirius te laat opmerkte. Deze laatste ramde de Brilliant en dreef hem vast in het zand. Beide schepen zaten heirdoor vast. 
De kruisers werden onbruikbaar gemaakt en de bemanning werd afgehaad door enkele Motor Launches. ";95.0;13.0;Neen;Neen;Staal;3.0;;2.4;315.0;20/02/2025;68.6;496092   5678025;3.0;5.3;8.8;1996 / 15-121;;;;;;HMS BRILLIANT of HMS SIRIUS;Verenigd Koninkrijk;;Royal Navy, UK;Cultureel erfgoed onder beschermingsmaatregelen;"Het is niet duidelijk welk vaartuig dit wrak betreft, daar HMS Briljant en HMS Sirius vlakbij mekaar zijn vergaan. 
De resten van het ontmantelde schip zijn over het algemeen laag boven de grond gelegen, meestal zelfs begraven, enkel de boeg steekt hoog boven de  de bodem uit.";;;4 Wk_;Intact, deels verzand;WO I;24/04/1918;Kruiser;;;;
;;;;;BE-127-306-01;1943.0;2.7;;507551.4;5701005.8;Wrak;;;1490.0;"Er word vermoed dat op 19 maart 1945 omstreeks 19uur, een mijn ontplofte vlak onder de LST 80.
Het achterschip zakte geleidelijk aan dieper naarmate het water binnenstroomde en werd een grote scheur zichtbaar van waterlijn tot dek over de volledige breedte van het schip. De ontploffing had het schip dus in twee geblazen. 
HM LST 366 trachte een sleep op te zetten, maar moest dit staken toen het voor hem te gevaarlijk werd. 
Om 8u30 nam de reddingssleper Antic de sleep over. Om 9 uur echter raakte de HM LST 80 een tweede mijn. 
Het schip maakte nu snel slagzij over stuurboord en was na 20 minuten onder het wateroppervlak verdwenen.";109.0;17.0;Ja;Neen;Staal;9.5;;2.7;54.1;30/04/2024;109.2;507501   5700969;9.5;12.2;18.2;1996 / 17-129;;;;;;HM LST 80;Verenigd Koninkrijk;nvt;Royal Navy, UK;;;;Jefferson Boat and Machine Co., Jeffersonville, Indiana, US;9.5 Wk_;Gebroken;WO II;19/03/1945;LST (Landing Ship, Tanks);;;;
;;;;;BE-112-238-01;1905.0;;;475121.0;5673084.0;Wrak;TER STREEP (VH);;101.0;"De Franse torpedoboot T-319 was op 15 januari 1915, samen met enkele andere torpedoboten, op missie om een Duits mijnenveld te ruimen. Om 9u 's ochtends deed zich een ontploffing voor ter hoogte van de brug. Het voorschip werd volledig vernield en de rest van het vaartuig liep snel vol water.
Door de aanwezigheid van de andere torpedoboten konden bijna alle bemanningsleden worden gered. Vijf mensen lieten het leven, vier geraakten gewond.";38.0;4.0;Ja;Neen;Staal;8.8;;1.8;30.0;14/03/2022;13.9;"475122; 5673085";8.8;10.6;3.1;2008 / 03-050;;;;;;torpilleur 319;Frankrijk;nvt;Marine Nationale, FR;Cultureel erfgoed onder beschermingsmaatregelen;;;Augustin Normand, Le Havre, FR;7,9 Wk;Enkele artefacten;WO I;15/01/1915;Torpedoboot;;;;
;;;;;BE-114-255-01;1750.0;;;494108.8;5676115.1;Wrak;;;;"Dit wrak betreft mogelijks de Charlotte, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Charlotte. 

De Charlotte was onderweg van Hamburg naar Le Havre met Indische doeken, pijpen, vaten olijfolie, specerijen en koffers met kledij en zilverwerk. Door een storm was het schip beide ankers en een groot deel van zijn zeilen en tuigage verloren, en was lekgeslagen onder de waterlijn. In de namiddag van 5 februari 1797 wou de Charlotte hierdoor de haven van Oostende binnenvaren, ook al was het op dat moment laagwater.
De Charlotte schuurde verschillende malen tegen de bodem aan de Binnenstroombank en strandde uiteindelijk ten westen van de haveningang. 
's Nachts sloeg het schip volledig uiteen. ";;;Neen;Neen;Hout;0.0;;;;31/01/2024;;;0.0;;;2006 / 09-118;;;;;;CHARLOTTE;Verenigde Staten;;;Cultureel erfgoed onder beschermingsmaatregelen;Het wrak is volledig verdwenen bij de zandopspuitingen van het westelijke strand in 2005. Voordien konden hier een 15m lange kielbalk en een twintigtal spanten gevoeld worden.;;;geen;Verzand, geen zichtbare resten;;05/02/1797;Brik;0.0;1.0;0.0;
;;3.7;Ackermans & Van Haaren;bodem;BE-115-248-01;1917.0;;;486870.8;5678384.1;Wrak;;;324.0;De tot mijnenveger omgebouwde treiler Hayburn Wyke bevond zich voor Oostende voor anker, toen het werd getorpedeerd door een Biber-eenmansduikboot. Het schip verging bijna onmiddellijk op 4 mijl ten NNW van het pierhoofd. Twintig opvarenden lieten het leven. ;41.8;7.2;Ja;Neen;Staal;8.6;;;;20/03/2024;;;8.6;8.6;;1963 / 12-110;;;;;;HMS HAYBURN WYKE (FY139);Verenigd Koninkrijk;HMT ROBERT BARTON, FV HAYBURN WYKE (H717, H334, FD99);Royal Navy, UK;;niets meer te zien;16/05/1963;Cochrane & Sons Shipbuilder Ltd., Selby, UK;#;Geborgen;WO II;02/01/1945;Mijnenveger;1.0;1.0;0.0;
;;;;;BE-121-316-01;;;;519093.6;5689629.0;Wrak;TER STREEP (VH);19/03/1992;;;;;Neen;Neen;;4.0;;0.6;;23/02/2023;18.0;"519106; 5689629";4.0;4.6;6.4;1965 / 14-112;;;;;;onbekend;;;;;;;;geen;Verspreid;;;;;;;
;;1.7;;;BE-124-228-01;1944.0;;;463737.5;5695868.2;Wrak;;;925.0;"S-192 maakte deel uit van de 10. Schnellboot-Flotille. 
Op 22 december 1944 werd een mijnenlegoperatie uitgevoerd tussen Westhinder en Akkaert. 
Aan deze operatie deden 18 Schnellboote mee. Ze slaagden erin om ongezien 58 LMB- en 15 UMB-mijnen te leggen vooraleer de Britten hen spotten.
Het vuur werd geopend en de Schnellboote verspreiden zich.
Enkele uren later, in de vroege ochtend, ging S-192 ten onder. Er waren geen overlevenden.
";34.9;5.3;Ja;Neen;Hout en aluminium;25.5;;;124.7;03/04/2017;30.4;"463727.75; 5695877.88";25.5;;8.1;2000 / 03-069;;;;;;schnellboot S-192;Duitsland;;Kriegsmarine, DE;;"Het wrak is in 2007 volledig vrijgekomen door de inwerking van stormen en getij, waardoor het goed onderzocht kon worden.
Op heden is het schip volledig verzand.
";;Johannes Schlichting Werft, Travemünde, DE;23,5 Wk_;Verzand, geen zichtbare resten;WO II;23/12/1944;Torpedoboot - snelle aanval;0.0;1.0;1.0;
;;;;;BE-110-237-04;1979.0;;;473456.9;5669811.2;Wrak;;;1763.0;De Spauwer, gekanteld in de nacht van 13 op 14 november 1995, werd op 16 en 17 november 1995 versleept van 51°10'.48N - 02°35'.97E naar de positie 51°10'.72N - 02°38'.99E. Tijdens deze sleep kunnen wrakstukken zijn losgekomen. ;83.0;;Ja;Neen;Staal;5.7;;;;14/02/2025;;;;5.7;;1996 / 10-100;;;;;;restant van SPAUWER;Nederland;VESTA;Spauwer Dredging BV, Yerseke, NL;;"Schip werd na de sleeptocht rechtop gezet en drijvend gehouden. Nadien is deze de haven van Hansweert binnengesleept. 
Deze obstructie werd gemeld door de schipper van de O.148 Snipe op 27/12/1995 aan de Eerste Waterschout J.Bedert.
Onderzoek met Ter Streep op 2 mei 1996 bevestigd de aanwezigheid van een obstructie in positie 51°10'.797 N - 02°37'.296E. ";26/11/1995;Gutehoffnungshuette, Waldum, DE;5,6 Obst;Verzand, geen zichtbare resten;Neen;13/11/1995;Zandzuiger;;;;
;;4.0;;;BE-141-225-01;1891.0;;;459768.2;5726646.0;Wrak;;;784.0;"Dit wrak betreft mogelijks de SS Ptarmigan, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Ptarmigan. 

De SS Ptarmigan, onderweg van Rotterdam naar Londen, werd getorpedeerd door UB-5.
Acht opvarenden verloren hierbij het leven.";67.1;9.4;Neen;Neen;Staal en ijzer;29.6;;6.4;237.0;28/09/2017;90.6;"459730.83; 5726621.35";29.6;36.0;15.3;;;;;;;SS PTARMIGAN;Verenigd Koninkrijk;nvt;General Steam Navigation Co. Ltd., London, UK;;Het wrak werd genivelleerd met behulp van explosieven.;;Gourlay Brothers & Co. Ltd., Dundee, UK;geen;Verspreid;Neen;15/04/1915;Vrachtschip;1.0;1.0;1.0;
;;5.5;;;BE-122-226-01;1917.0;20.7;02/07/1987;460817.0;5691053.0;Wrak;;;1908.0;Op 11 mei 1940 was de SS Viiu op weg van Antwerpen naar Miami, toen het door de Duitse onderzeeboot U-9 werd getorpedeerd op 1 mijl ten zuiden van het lichtschip Westhinder. Het schip ging ten onder, slechts vijf bemanningsleden overleefden het ongeval.;82.3;11.6;Ja;Neen;Staal;21.8;;9.2;56.8;21/03/2024;89.6;460800   5691042;21.8;31.0;18.2;1996 / 17-129;;;;;;SS VIIU;Estland;SS FLAMMA;Inkapööl, Jakobson & Others, Tallin, EE;;Het schip ligt rechtop. Enkel het eerste ruim vertoont beschadigingen, waardoor de boeg gebroken ligt van de rest van het schip.;;Wood, Skinner & Co. Ltd., Newcastle-Upon-Tyne, UK;18 Wk_;Intact;Neen;11/05/1940;Vrachtschip;;;;
;;3.3;;;BE-137-228-01;1915.0;;;463646.0;5719702.6;Wrak;;;257.0;"Hoewel Nederland tijdens de Eerste Wereldoorlog neutraal was, werd de SS Breda door de UB-35 onder vuur genomen.
Het werd meerdere keren getroffen maar kon ontsnappen.
Diezelfde dag nog werd het zonder waarschuwing getorpedeerd door de UB-18, en verging.";39.5;7.4;Ja;Neen;Staal;33.0;;;;28/09/2017;;;33.0;;;1990 / 18-116;;;;;;SS BREDA;Nederland;nvt;J.J.A. Van Meel, Rotterdam, NL;;;;E.J. Smit & Zoon, Westerbroek, NL;30,5 Wk;Verzand, geen zichtbare resten;Neen;22/07/1917;Vrachtschip;0.0;1.0;1.0;
;;;;;BE-111-247-01;;;;484975.7;5671943.4;Wrak;;;;;;;Neen;Neen;;9.0;;;;16/02/2024;;;9.0;;;;;;;;;onbekend;;;;;Geen wrakstukken aangetroffen boven de zeebodem. De magnetometer registreerde slechts enkele kleine echo's, mogelijks afkomstig van een ankerketting of kabels. ;;;geen;Verzand, geen zichtbare resten;;;;0.0;1.0;0.0;
;;;;;BE-117-238-01;;;;473881.0;5681089.0;Wrak;Eurosense-Belfotop BVBA;;;;;;Neen;Neen;;23.0;;1.0;;22/01/2025;2.4;473881  5681089;23.0;24.0;2.3;;;;;;;onbekend;;;;;;;;#;;;;;;;;
;;;;;BE-132-219-01;;;;452751.7;5710375.5;Wrak;;;;;;;Neen;Neen;Hout;32.3;;;68.2;28/09/2017;8.9;"452751.42; 5710376.41";32.3;;5.0;;;;;;;onbekend;;;;;;;;geen;Enkele fragmenten;;;;0.0;1.0;1.0;
;;;;;BE-123-306-02;1912.0;;;507226.7;5693233.0;Wrak;;;5839.0;"De SS Eugenia werd op 15 mei 1940 aangevallen door 3 Duitse stuka's, toen het op weg was van Antwerpen naar New Orleans.
De bemanning slaagde er in het schip aan de grond te zetten.
Het schip werd 3 dagen later naar Zeebrugge gesleept en daar tot afgezonken om dienst te doen als blokkadeschip.";;;Ja;Neen;Staal;10.4;;;;30/04/2024;;;;10.4;;1996 / 25-164;;;;;;SS EUGENIA;Griekenland;;;;;;;9,0 Obst;Geen zichtbare overblijfselen;Neen;15/05/1940;Vrachtschip;;;;
;;2.9;;;BE-110-237-02;1897.0;;;473923.4;5669196.3;Wrak;;;553.0;"Dit wrak betreft mogelijks de Brighton Queen, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Brighton Queen. 

De HMS Brighton Queen was op 6 oktober 1915 bezig met een mijnenveegopdracht toen ze op een mijn stootte en bijna onmiddellijk verging. ";73.3;8.6;Neen;Neen;Staal;14.5;;;;24/07/2018;;;14.5;;;;;;;;;HMS BRIGHTON QUEEN;Verenigd Koninkrijk;PSS BRIGHTON QUEEN;Royal Navy, UK;;Omdat de HMS Brigthon Queen een redelijk groot schip betrof, staken de wrakresten grotendeels boven water. Het was waarschijnlijk tijdens het bergingsprogramma van de Royal Navy in de jaren '20 dat ze werd geborgen. ;;Thomson J. & G., Govan, UK;#;Geen zichtbare overblijfselen;WO I;06/10/1915;Mijnenveger;1.0;1.0;1.0;
;;7.5;;1260.0;BE-120-237-01;1913.0;12.6;04/07/1986;473180.4;5687142.3;Wrak;;;3256.0;"Toen Duitsland op 10 mei 1940 Begië binnenviel, besloot de Belgische Staat het schip aan te slaan omdat Max Faulbaum, de toenmalige eigenaar, een Duitse bedrijfspartner had. Om het als prijs te kunnen behouden, werd besloten de Sigurd Faulbaums naar een Franse of Britse haven te laten varen. 
Op 15 mei echter, werd het schip geïnspecteerd en in slechte staat bevonden. Hierop werd beslist de hulp in te roepen van riviersleepboot Baron de Maere en zeesleper Graaf Visart om het schip naar Engeland te brengen. 
Voor vertrek zou de Sigurd Faulbaums, net zoals andere uitgaande schepen, nog geladen worden met lood, zink en rijst. 
Op 23 mei 1940, om 23 uur, verliet het kleine konvooi de haven van Zeebrugge. Vlak buiten de haven werd de Baron de Maere buiten werking gesteld door een kabel die in de schroef was terechtgekomen. Hij werd nu op sleep genomen door de Sigurd Faulbaums, die op zijn beurt gesleept werd door de Graaf Visart.
Om 12u10 's middags werd de Sigurd Faulbaums getorpedeerd door de U-9. Beide slepen werden gelost, en in minder dan twee minuten tijd verdween de Sigurd Faulbaums onder de golven. 
";110.0;16.0;Ja;Neen;Staal;14.3;;6.2;85.3;12/03/2015;105.3;"473222.31; 5687143.99";14.3;20.5;22.4;1996 / 17-129;;;;;;SS SIGURD FAULBAUMS;België;SS DINGLE BANK, SS ANGLET, SS NORDEFLINGE, SS SIGURDS FAULBAUMS;Belgische Staat;;"Het wrak is na de oorlog bijna volledig uit elkaar geblazen, om de loodlading te kunnen bergen.
De wrakstukken liggen verspreid over een gebied van ongeveer 100 op 20 meter.";06/04/1963;John Blumer & Co., Sunderland, UK;12,5 Wk_;Verspreid;Neen;22/05/1940;Vrachtschip;1.0;1.0;1.0;
;;4.3;Ackermans & Van Haaren;bodem;BE-115-250-01;1932.0;10.7;;489168.8;5678749.1;Wrak;;;431.0;HMT Rifsnes bevond zich samen met HMS Lord Inchcape op mijnenveegopdracht tussen Duinkerke en Oostende, toen ze ter hoogte van Oostende werden aangevallen door Duitse duikbommenwerpers. HMT Rifsnes werd geraakt en verging onmiddellijk. ;48.9;7.7;Ja;Neen;Staal;9.9;;;;20/03/2024;;;9.9;10.0;;1960 / 12-089;;;;;;HMT RIFSNES;Verenigd Koninkrijk;FV RIFSNES (H451);Royal Navy, UK;;niets meer te zien;01/01/1960;Cook, Welton & Gemmill, Beverley, Hull, UK;9.9 Wk_;Geborgen;WO II;20/05/1940;Mijnenveger;1.0;1.0;0.0;
;;;;;BE-122-319-01;;4.9;29/09/1992;523086.6;5691713.0;Wrak;;;;In mei 1955 ging de gesleepte, onbemande lichter HC14 verloren tussen Knokke en Het Zoute, geladen met stortstenen. ;;;Ja;Neen;Staal;3.9;;;;23/02/2023;;;3.9;;;1992 / 23-184;;;;;;slijkbak HC14;België;;NV Etablissements Lagrou, Vaux sur Chèvremont, BE;;;;;3,9 Wk_;Intact, deels verzand;Neen;01/05/1955;Lichter;0.0;1.0;0.0;
;;3.7;;;BE-127-304-02;1916.0;;;504604.7;5700525.0;Wrak;;;1147.0;"Op 8 april 1917 bevond G-88 zich in de haven van Zeebrugge. Tegen de avond begon een luchtaanval op de haven. Om schade aan torpedoboten G-88 en V-81 te vermijden, gingen zij voor anker in de Rede van Zeebrugge. 
Om 0u30 werd G-88 plots getroffen door een torpedo, vlak onder de brug. Door het binnenstromende water ontplofte ook de voorste ketel, waardoor het schip nog sneller zonk. Bijna 2 uur nadien brak het schip in 2. Het voorschip verging onmiddellijk op zijn zijde, het achterschip bleef rechtop.";82.2;8.4;Ja;Neen;Staal;11.3;;;;30/04/2024;;;;11.3;;1996 / 24-160;;;;;;torpedoboot G-88 - voorschip;Duitsland;;Keizerlijke Marine, DE;Cultureel erfgoed onder beschermingsmaatregelen;;;Germaniawerft A.G., Kiel, DE;11,0 Wk;Verzand, geen zichtbare resten;WO I;09/04/1917;Torpedoboot;;;;
;;;Ackermans & Van Haaren;1030.0;BE-123-305-01;;10.5;01/01/1977;505957.4;5694029.7;Wrak;;;;;;;Neen;Neen;Staal;11.5;;;;30/04/2024;;;;11.5;;;;;;;;onbekend;;;;;;;;#;Geborgen;;;Schoener;;;;
;;;;;OB-114-253-01;;;;492848.8;5677158.1;Wrak;;;;;;;Neen;Neen;;5.8;;;;;;;5.8;;;1972 / 07-073;;;;;;zuigbuis Decloedt;;;;;;;;#;;;;;;;;
;;;Van Gastel NV;volledig;BE-122-312-03;1942.0;;;514083.0;5692122.0;Wrak;;;462.0;"Het nieuw gebouwde visserschip ging meteen in dienst bij de Kriegsmarine.
Op 6 augustus 1944, 0u50, voer het tegen een mijn en verging.";;;Ja;Neen;Hout;9.6;;;270.0;25/03/2022;31.7;"514092; 5692123";10.2;;14.7;1954 / 25-127;;;;;;minensuchboot M-3201;Duitsland;;Kriegsmarine, DE;;;31/08/1953;Scheepsbouwwerf De Nieuwe Maas, Vlaardingen, NL;#;Geborgen;WO II;06/08/1944;Mijnenveger;;;1.0;
;;2.5;;;BE-112-239-01;1936.0;7.0;20/02/1973;476013.0;5673160.0;Wrak;bergingsvaartuig BARRACUDA;;393.0;"De GRACIE FIELDS , genoemd naar  de ster Miss Fields, was een paddelschip gebouwd in 1936 als ferry op de lijn Southhampton - Cowes. Op het voordek was er plaats voor auto's. 
Tijdens de evacuatie van Duinkerke op 28 mei 1940 met 750 man aan boord werd het schip aangevallen. Een voltreffer in de machinekamer schakelde één paddel uit. Hierdoor bleef de GRACIE FIELDS stuurloos. Het schip werd op sleep genomen . Het maakte echter veel water en zonk in de omgeving van de Middelkerke bank. ";59.3;7.5;Ja;Neen;Staal;6.0;;3.6;224.0;14/03/2022;73.8;"476015; 5673154";6.0;9.6;17.9;1996 / 17-129;;;;;;GRACIE FIELDS;Verenigd Koninkrijk;nvt;Royal Navy, UK;;;;J.I. Thornycroft, UK;6 Wk;Enkele fragmenten;WO II;28/05/1940;Stoomschip - Radarboot;1.0;1.0;1.0;
;;;Van den Tak;bodem;BE-115-253-02;;;;492018.8;5679238.1;Wrak;;;;;;;Neen;Neen;;9.1;;0.1;49.6;20/03/2024;1.5;492018   5679229;9.1;9.2;1.2;1960 / 22-157;;;;;;onbekend;;;;;één fragment te zien;;;#;Geborgen;;;;;;;
;;;;;BE-123-306-03;;;;506882.7;5693664.0;Wrak;;;;;;;Neen;Neen;;11.2;;;;30/04/2024;;;;11.2;;1921 / 109;;;;;;onbekend;;;;;;;;geen;;;;;;;;
;;;;;BE-149-234-01;;;;471163.3;5741059.9;Wrak;;;;;;;Neen;Neen;;33.0;;;194.8;04/10/2015;42.6;"471171.33; 5741070.75";33.0;;9.4;;;;;;;onbekend;;;;;;;;33,0 Wk_;Enkele fragmenten;;;;0.0;1.0;1.0;
;;;;;BE-122-229-02;;24.7;02/07/1987;464693.0;5691123.0;Wrak;;;;Het gaat hier om een vrachtschip uit de eerste helft van de 20ste eeuw.;40.0;8.0;Neen;Neen;Staal;22.0;;3.8;334.7;21/03/2024;41.6;464684   5691139;26.5;30.3;12.3;1996 / 17-129;;;;;;onbekend;;;;;;;;22,0 Wk_;Scheepsvorm goed herkenbaar;;;Vrachtschip;;;;
;;;;;BE-121-308-01;;;;509876.0;5689613.0;Wrak;TER STREEP (VH);01/01/2004;;;;;Neen;Neen;;6.0;;0.8;53.7;28/10/2022;9.8;"509875; 5689612";6.0;6.8;5.7;2004 / 21-145;;;;;;onbekend;;;;;Dit wrak werd door de Vlaamse Hydrografie gevonden tijdens de algemene peilingen van 2004.;;;6,0 Wk;Intact, deels verzand;;;;;;;
